Tow Date,Make,Style,Model,Color,Plate,State,Towed to Address
04/16/2019,NISS,4D,,WHI,,,10300 S. Doty
04/16/2019,NISS,4D,SEN,SIL,R507466,IL,701 N. Sacramento
04/16/2019,NISS,4D,,BLK,Q623123,IL,701 N. Sacramento
04/16/2019,NISS,4D,,GLD,592U852,IL,701 N. Sacramento
04/16/2019,NISS,4D,,SIL,BA43720,IL,701 N. Sacramento
04/16/2019,NISS,4D,ALT,GRY,,,10300 S. Doty
04/16/2019,NISS,4D,,SIL,BC48919,IL,400 E. Lower Wacker
04/16/2019,NISS,4D,,TAN,9848567,IL,10300 S. Doty
04/16/2019,NISS,LL,,SIL,AP61502,IL,701 N. Sacramento
04/16/2019,NISS,LL,TK,BLU,AG74966,IL,701 N. Sacramento
04/16/2019,NISS,LL,,BLK,614U514,IL,701 N. Sacramento
04/16/2019,NISS,LL,,WHI,AX95905,IL,701 N. Sacramento
04/16/2019,OLDS,4D,,TAN,,IL,701 N. Sacramento
04/16/2019,PONT,2D,,WHI,,IL,701 N. Sacramento
04/16/2019,PONT,4D,,TAN,293891,IL,701 N. Sacramento
04/16/2019,PONT,4D,GRA,MAR,AS65882,IL,400 E. Lower Wacker
04/16/2019,PONT,LL,,BLU,BH12801,IL,10300 S. Doty
04/16/2019,SAA,2D,,WHI,CUBSFAN,IL,701 N. Sacramento
04/16/2019,SMAR,2D,,BLU,AX87928,IL,400 E. Lower Wacker
04/16/2019,SUBA,4D,,WHI,Q602264,IL,10300 S. Doty
04/16/2019,TOYT,2D,,GRN,BA25177,IL,701 N. Sacramento
04/16/2019,TOYT,4D,,WHI,BF21360,IL,10300 S. Doty
04/16/2019,TOYT,4D,,BLU,Q974014,IL,701 N. Sacramento
04/16/2019,TOYT,4D,,WHI,DN5D067,TX,701 N. Sacramento
04/16/2019,TOYT,4D,,PLE,BF21878,IL,10300 S. Doty
04/16/2019,TOYT,LL,TK,BLU,964WYM,WI,701 N. Sacramento
04/16/2019,TOYT,LL,TK,GRY,AZ83313,IL,701 N. Sacramento
04/16/2019,TOYT,LL,,BLK,4P88H8,TN,701 N. Sacramento
04/16/2019,TOYT,LL,RAV,BLU,R596398,IL,701 N. Sacramento
04/16/2019,TOYT,PK,TK,GRY,45964UB,IL,701 N. Sacramento
04/16/2019,VOLK,2D,,WHI,V826543,IL,701 N. Sacramento
04/16/2019,VOLK,4D,,BLK,AK30947,IL,701 N. Sacramento
04/16/2019,VOLK,4D,,BLK,S176255,IL,701 N. Sacramento
04/16/2019,VOLK,4D,,RED,BE97064,IL,400 E. Lower Wacker
04/16/2019,VOLK,4D,,RED,AP99643,IL,400 E. Lower Wacker
04/16/2019,VOLK,4D,,BRO,X294344,IL,701 N. Sacramento
04/16/2019,,HH,,BGE,4740HPTA,IL,10300 S. Doty
04/16/2019,,UT,,BLK,,IL,10300 S. Doty
04/15/2019,AUDI,4D,,SIL,5706920,IL,701 N. Sacramento
04/15/2019,BUIC,4D,,WHI,BF18348,IL,10300 S. Doty
04/15/2019,CADI,4D,,BLK,687U566,IL,10300 S. Doty
04/15/2019,CHEV,2D,,TAN,V594414,IL,10300 S. Doty
04/15/2019,CHEV,2D,,YEL,AU28823,IL,10300 S. Doty
04/15/2019,CHEV,4D,,TAN,217170,IL,10300 S. Doty
04/15/2019,CHEV,4D,,WHI,Z618272,IL,10300 S. Doty
04/15/2019,CHEV,4D,,BLK,822LWP,IN,701 N. Sacramento
04/15/2019,CHEV,4D,,GRY,895149,IL,400 E. Lower Wacker
04/15/2019,CHEV,LL,,MAR,ZZ20034,IL,701 N. Sacramento
04/15/2019,CHEV,LL,,WHI,BA35567,IL,10300 S. Doty
04/15/2019,CHEV,LL,TK,SIL,AF44100,IL,10300 S. Doty
04/15/2019,CHEV,LL,TK,SIL,212163,IL,10300 S. Doty
04/15/2019,CHEV,PK,TK,WHI,707U916,IL,701 N. Sacramento
04/15/2019,CHEV,VN,TK,WHI,BZK467,MN,10300 S. Doty
04/15/2019,DODG,2D,,GRY,AEZ9819,WI,10300 S. Doty
04/15/2019,DODG,4D,,GRY,BF18985,IL,10300 S. Doty
